iter	RMSE
0	1.057650397
1	1.02788812
2	0.9987127232
3	0.9777174185
4	0.9643063937
5	0.9474689222
6	0.9351352899
7	0.9262816293
8	0.9156684875
9	0.9082978175
10	0.9009045075
11	0.8909248709
12	0.8866846493
13	0.8784131096
14	0.8751948762
15	0.8687590033
16	0.8615543701
17	0.8573848134
18	0.8532152417
19	0.8488227196
20	0.8428595542
21	0.8362092288
22	0.8274255923
23	0.8230530995
24	0.8192993221
25	0.8160275977
26	0.8115503128
27	0.8075977708
28	0.8054550964
29	0.8029241369
30	0.7960466977
31	0.7917093079
32	0.7858160256
33	0.7797260059
34	0.7734156321
35	0.7688189258
36	0.7632146012
37	0.7555774117
38	0.7496826117
39	0.7479225178
40	0.7432719338
41	0.7394244217
42	0.7306081614
43	0.7221821685
44	0.7172431235
45	0.7145509208
46	0.7088164067
47	0.7058408509
48	0.7012715778
49	0.697082477
50	0.6929516257
51	0.6902331381
52	0.6841146633
53	0.6807851927
54	0.6770077757
55	0.674031105
56	0.6696529344
57	0.6674118775
58	0.6630236714
59	0.6575006498
60	0.6548682701
61	0.6515853815
62	0.6480030844
63	0.6434996426
64	0.6391787932
65	0.6343146825
66	0.6315035997
67	0.6287173721
68	0.6226042005
69	0.6186581603
70	0.6166464479
71	0.6125341035
72	0.6097913988
73	0.6068541845
74	0.6038204718
75	0.6024332498
76	0.5990425965
77	0.5960614231
78	0.591693318
79	0.5895421561
80	0.5848275316
81	0.5828758303
82	0.5788548848
83	0.5767142351
84	0.573802699
85	0.5713875546
86	0.5694896394
87	0.5667664022
88	0.5636163725
89	0.5600339433
90	0.5576872756
91	0.5541778596
92	0.5521390232
93	0.5496472552
94	0.5475640952
95	0.5452110467
96	0.5425282337
97	0.5402260784
98	0.5381780547
99	0.5349739202
