iter	Passed	Remaining
0	63	6310
1	66	3234
2	68	2201
3	70	1681
4	72	1373
5	74	1165
6	76	1014
7	78	901
8	80	817
9	82	746
10	84	686
11	86	637
12	89	597
13	91	560
14	93	528
15	95	500
16	97	476
17	99	453
18	101	434
19	103	415
20	106	398
21	107	382
22	109	368
23	112	355
24	114	342
25	116	330
26	118	319
27	120	308
28	122	299
29	124	290
30	126	281
31	128	273
32	130	265
33	132	257
34	134	249
35	136	243
36	138	236
37	141	230
38	143	223
39	145	217
40	147	212
41	149	206
42	151	200
43	153	195
44	155	190
45	157	185
46	159	180
47	161	175
48	163	170
49	165	165
50	168	161
51	170	157
52	172	152
53	174	148
54	176	144
55	178	140
56	180	136
57	182	132
58	184	128
59	186	124
60	188	120
61	190	116
62	192	113
63	194	109
64	196	105
65	198	102
66	200	98
67	203	95
68	205	92
69	207	88
70	209	85
71	212	82
72	213	79
73	216	75
74	218	72
75	220	69
76	222	66
77	224	63
78	226	60
79	229	57
80	231	54
81	233	51
82	235	48
83	237	45
84	239	42
85	241	39
86	243	36
87	246	33
88	248	30
89	250	27
90	252	24
91	254	22
92	256	19
93	258	16
94	261	13
95	263	10
96	265	8
97	267	5
98	269	2
99	271	0
